Typ normy,Strefa,Informacje dotyczące obszaru przekroczenia,Przyczyny przekroczenia,Stanowisko pomiarowe,Data i godzina,Czas trwania,Liczba mieszkańców,Wartość maksymalnego stężenia (µg/m3),Informacje o podjętych ograniczeniach,Dodatkowe informacje,Odnośnik do strony internetowej z informacjami,Odnośnik do strony internetowej z planem działań,Prognoza zmian stężeń,"Obszar geograficzny, na którym spodziewane są przekroczenia",Informacje w sprawie grup ludności objętych ryzykiem,Opis prawdopodobnych symptomów,Zalecane środki ostrożności,"Wskazanie, gdzie można uzyskać dalsze informacje",Identyfikator stacji,Kod stacji,Nazwa stacji,WGS84 φ N,WGS84 λ E,Identyfikator miasta,Nazwa miasta,Gmina,Powiat,Województwo,Ulica
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat krakowski,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpSkawOsOgro,2024-04-01 00:00:00,24godziny,300300.0,111.9,,,,,,,,,,,437.0,MpSkawOsOgro,"Skawina, os. Ogrody",49.971047,19.830422,834.0,Skawina,Skawina,krakowski,MAŁOPOLSKIE,os. Ogrody
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,gmina Rabka-Zdrój,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpRabkaOrkan,2024-04-01 00:00:00,24godziny,16670.0,108.1,,,,,,,,,,,10446.0,MpRabkaOrkan,"Rabka-Zdrój, ul. Orkana",49.608647,19.966008,767.0,Rabka-Zdrój,Rabka-Zdrój,nowotarski,MAŁOPOLSKIE,Orkana
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat oświęcimski,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpOswiecBema,2024-04-01 00:00:00,24godziny,149300.0,126.0,,,,,,,,,,,10814.0,MpOswiecBema,"Oświęcim, ul. J. Bema",50.033083,19.245275,660.0,Oświęcim,Oświęcim,oświęcimski,MAŁOPOLSKIE,J. Bema
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat m. Nowy Sącz,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpNoSaczNadb,2024-04-01 00:00:00,24godziny,80590.0,145.8,,,,,,,,,,,426.0,MpNoSaczNadb,"Nowy Sącz, ul. Nadbrzeżna",49.619281,20.714403,623.0,Nowy Sącz,Nowy Sącz,Nowy Sącz,MAŁOPOLSKIE,ul. Nadbrzeżna
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat gorlicki,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpWysowaParkMOB,2024-04-01 00:00:00,24godziny,105780.0,107.9,,,,,,,,,,,17118.0,MpWysowaParkMOB,"Wysowa-Zdrój, Park Zdrojowy",49.440175,21.178087,995.0,Uście Gorlickie Wysowa,Uście Gorlickie,gorlicki,MAŁOPOLSKIE,Wysowa
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat myślenicki,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpMyslenSoli,2024-04-01 00:00:00,24godziny,129540.0,126.1,,,,,,,,,,,16753.0,MpMyslenSoli,Myślenice,49.831237,19.923591,583.0,Myślenice,Myślenice,myślenicki,MAŁOPOLSKIE,Solidarności 6
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat nowosądecki,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpMuszynLodoMOB,2024-04-01 00:00:00,24godziny,214930.0,142.3,,,,,,,,,,,17138.0,MpMuszynLodoMOB,"Muszyna, Lodowisko",49.350042,20.890522,579.0,Muszyna,Muszyna,nowosądecki,MAŁOPOLSKIE,Aleja Zdrojowa
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,"dzielnice: Bronowice, Krowodrza, Prądnik Biały, Stare Miasto, Zwierzyniec",Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakZloRog,2024-04-01 00:00:00,24godziny,173830.0,125.7,,,,,,,,,,,10123.0,MpKrakZloRog,"Kraków, ul. Złoty Róg",50.081197,19.895358,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Złoty Róg
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,os. Wadów w Krakowie,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakWadow,2024-04-01 00:00:00,24godziny,306.0,122.3,,,,,,,,,,,10447.0,MpKrakWadow,"Kraków, os. Wadów",50.100569,20.122561,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Wadów
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,dzielnica Swoszowice,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakSwoszo,2024-04-01 00:00:00,24godziny,28960.0,132.8,,,,,,,,,,,11303.0,MpKrakSwoszo,"Kraków, os. Swoszowice",49.991442,19.936792,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Lusińska
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,"dzielnice: Bieńczyce, Mistrzejowice, Prądnik Czerwony, Wzgórza Krzesławickie, Czyżyny",Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakOsPias,2024-04-01 00:00:00,24godziny,186780.0,127.5,,,,,,,,,,,10139.0,MpKrakOsPias,"Kraków, os. Piastów",50.098508,20.018269,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,os. Piastów
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakKamien,2024-04-01 00:00:00,24godziny,,128.4,,,,,,,,,,,,,,,,,,,,,
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,rejon dzielnicy Nowa Huta,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakBulwar,2024-04-01 00:00:00,24godziny,47250.0,128.0,,,,,,,,,,,402.0,MpKrakBulwar,"Kraków, ul. Bulwarowa",50.069308,20.053492,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,ul. Bulwarowa
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,"dzielnice: Bieżanów – Prokocim, Dębniki, Grzegórzki, Łagiewniki - Borek Fałęcki, Podgórze, Podgórze Duchackie",Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakBujaka,2024-04-01 00:00:00,24godziny,265840.0,133.3,,,,,,,,,,,401.0,MpKrakBujaka,"Kraków, ul. Bujaka",50.010575,19.949189,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,ul. Bujaka
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL1201 Aglomeracja Krakowska,rejon Al. Krasińskiego,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakAlKras,2024-04-01 00:00:00,24godziny,3300.0,167.6,,,,,,,,,,,400.0,MpKrakAlKras,"Kraków, Aleja Krasińskiego",50.057678,19.926189,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,al. Krasińskiego
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat nowotarski z wyłączeniem gminy Rabki-Zdroju,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpNoTargAlTy,2024-04-01 00:00:00,24godziny,173470.0,115.0,,,,,,,,,,,16894.0,MpNoTargAlTy,"Nowy Targ, al. Tysiąclecia",49.476675,20.034878,626.0,Nowy Targ,Nowy Targ,nowotarski,MAŁOPOLSKIE,al. Tysiąclecia
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,rejon Al. Krasińskiego,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakAlKras,2024-03-31 00:00:00,24godziny,3300.0,128.6,,,,,,,,,,,400.0,MpKrakAlKras,"Kraków, Aleja Krasińskiego",50.057678,19.926189,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,al. Krasińskiego
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat tatrzański,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpZakopaSien,2024-03-31 00:00:00,24godziny,66570.0,133.5,,,,,,,,,,,459.0,MpZakopaSien,"Zakopane, ul. Sienkiewicza",49.293564,19.960083,1076.0,Zakopane,Zakopane,tatrzański,MAŁOPOLSKIE,ul. Sienkiewicza
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat krakowski,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpZabieWapie,2024-03-31 00:00:00,24godziny,300300.0,107.6,,,,,,,,,,,11434.0,MpZabieWapie,"Zabierzów, ul. Wapienna",50.116028,19.800639,2300.0,Zabierzów,Zabierzów,krakowski,MAŁOPOLSKIE,Wapienna
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat chrzanowski,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpTrzebOsZWM,2024-03-31 00:00:00,24godziny,119720.0,105.3,,,,,,,,,,,449.0,MpTrzebOsZWM,"Trzebinia, os. Związku Walki Młodych",50.159406,19.477464,974.0,Trzebinia,Trzebinia,chrzanowski,MAŁOPOLSKIE,os. Widokowe (dawne os. ZWM)
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,Powiat oświęcimski,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpOswiecBema,2024-03-31 00:00:00,24godziny,149300.0,112.7,,,,,,,,,,,10814.0,MpOswiecBema,"Oświęcim, ul. J. Bema",50.033083,19.245275,660.0,Oświęcim,Oświęcim,oświęcimski,MAŁOPOLSKIE,J. Bema
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,"dzielnice: Bronowice, Krowodrza, Prądnik Biały, Stare Miasto, Zwierzyniec",Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakZloRog,2024-03-31 00:00:00,24godziny,173830.0,101.4,,,,,,,,,,,10123.0,MpKrakZloRog,"Kraków, ul. Złoty Róg",50.081197,19.895358,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Złoty Róg
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,os. Swoszowice,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakSwoszo,2024-03-31 00:00:00,24godziny,28960.0,103.3,,,,,,,,,,,11303.0,MpKrakSwoszo,"Kraków, os. Swoszowice",49.991442,19.936792,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Lusińska
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,rejon Al. Krasińskiego,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpKrakAlKras,2024-03-30 00:00:00,24godziny,3300.0,105.8,,,,,,,,,,,400.0,MpKrakAlKras,"Kraków, Aleja Krasińskiego",50.057678,19.926189,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,al. Krasińskiego
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat tatrzański,Napływ zanieczyszczeń powietrza spoza granic kraju (transgraniczny charakter zanieczyszczenia),MpZakopaSien,2024-03-30 00:00:00,24godziny,66570.0,113.0,,,,,,,,,,,459.0,MpZakopaSien,"Zakopane, ul. Sienkiewicza",49.293564,19.960083,1076.0,Zakopane,Zakopane,tatrzański,MAŁOPOLSKIE,ul. Sienkiewicza
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,rejon Al. Krasińskiego w Krakowie.,"Oddziaływanie emisji związanej z ruchem pojazdów w centrum miasta z intensywnym ruchem,Oddziaływanie emisji związanej z ruchem pojazdów na głównej drodze leżącej w pobliżu stacji,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",MpKrakAlKras,2024-03-02 00:00:00,24godziny,3280.0,106.0,,,,,,,,,,,400.0,MpKrakAlKras,"Kraków, Aleja Krasińskiego",50.057678,19.926189,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,al. Krasińskiego
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,Powiat suski,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpSuchaNiesz,2024-02-27 00:00:00,24godziny,83130.0,103.1,,,,,,,,,,,10124.0,MpSuchaNiesz,"Sucha Beskidzka, ul. Nieszczyńskiej",49.743131,19.600339,897.0,Sucha Beskidzka,Sucha Beskidzka,suski,MAŁOPOLSKIE,ul. Nieszczyńskiej
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat nowotarski z wyłączeniem gminy Rabki-Zdroju,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",MpNoTargAlTy,2024-01-30 00:00:00,24godziny,173470.0,101.5,,,,,,,,,,,16894.0,MpNoTargAlTy,"Nowy Targ, al. Tysiąclecia",49.476675,20.034878,626.0,Nowy Targ,Nowy Targ,nowotarski,MAŁOPOLSKIE,al. Tysiąclecia
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat oświęcimski,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,MpOswiecBema,2024-01-11 00:00:00,24godziny,149300.0,113.3,,,,,,,,,,,10814.0,MpOswiecBema,"Oświęcim, ul. J. Bema",50.033083,19.245275,660.0,Oświęcim,Oświęcim,oświęcimski,MAŁOPOLSKIE,J. Bema
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL1201 Aglomeracja Krakowska,rejon Al. Krasińskiego w Krakowie,"Oddziaływanie emisji związanej z ruchem pojazdów w centrum miasta z intensywnym ruchem,Oddziaływanie emisji związanej z ruchem pojazdów na głównej drodze leżącej w pobliżu stacji,Napływ zanieczyszczeń spoza granic strefy,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpKrakAlKras,2024-01-10 00:00:00,24godziny,3280.0,155.6,,,,,,,,,,,400.0,MpKrakAlKras,"Kraków, Aleja Krasińskiego",50.057678,19.926189,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,al. Krasińskiego
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat krakowski,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",MpZabieWapie,2024-01-10 00:00:00,24godziny,300290.0,140.1,,,,,,,,,,,11434.0,MpZabieWapie,"Zabierzów, ul. Wapienna",50.116028,19.800639,2300.0,Zabierzów,Zabierzów,krakowski,MAŁOPOLSKIE,Wapienna
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL1202 miasto Tarnów,Rejon ul. Ks. R. Sitko w Tarnowie,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanej z ruchem pojazdów w centrum miasta z intensywnym ruchem",MpTarRoSitko,2024-01-10 00:00:00,24godziny,1300.0,176.7,,,,,,,,,,,10120.0,MpTarRoSitko,"Tarnów, ul. Ks. Romana Sitko",50.018253,20.992578,958.0,Tarnów,Tarnów,Tarnów,MAŁOPOLSKIE,ul. Ks. Romana Sitko
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat suski,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpSuchaNiesz,2024-01-10 00:00:00,24godziny,83130.0,143.9,,,,,,,,,,,10124.0,MpSuchaNiesz,"Sucha Beskidzka, ul. Nieszczyńskiej",49.743131,19.600339,897.0,Sucha Beskidzka,Sucha Beskidzka,suski,MAŁOPOLSKIE,ul. Nieszczyńskiej
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat krakowski,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpSkawOsOgro,2024-01-10 00:00:00,24godziny,300290.0,141.5,,,,,,,,,,,437.0,MpSkawOsOgro,"Skawina, os. Ogrody",49.971047,19.830422,834.0,Skawina,Skawina,krakowski,MAŁOPOLSKIE,os. Ogrody
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,gmina Rabka-Zdrój,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",MpRabkaOrkan,2024-01-10 00:00:00,24godziny,16670.0,112.8,,,,,,,,,,,10446.0,MpRabkaOrkan,"Rabka-Zdrój, ul. Orkana",49.608647,19.966008,767.0,Rabka-Zdrój,Rabka-Zdrój,nowotarski,MAŁOPOLSKIE,Orkana
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL1203 strefa małopolska,powiat oświęcimski,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Napływ zanieczyszczeń spoza granic strefy,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",MpOswiecBema,2024-01-10 00:00:00,24godziny,149300.0,211.5,,,,,,,,,,,10814.0,MpOswiecBema,"Oświęcim, ul. J. Bema",50.033083,19.245275,660.0,Oświęcim,Oświęcim,oświęcimski,MAŁOPOLSKIE,J. Bema
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL1203 strefa małopolska,powiat nowotarski z wyłączeniem gminy Rabka-Zdrój,"Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",MpNoTargAlTy,2024-01-10 00:00:00,24godziny,173470.0,184.3,,,,,,,,,,,16894.0,MpNoTargAlTy,"Nowy Targ, al. Tysiąclecia",49.476675,20.034878,626.0,Nowy Targ,Nowy Targ,nowotarski,MAŁOPOLSKIE,al. Tysiąclecia
Poziom Alarmowy (PA) - Ochrona Zdrowia (OZ) / S24 > 150 ug/m3,PL1203 strefa małopolska,miasto Nowy Sącz na prawach powiatu,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpNoSaczNadb,2024-01-10 00:00:00,24godziny,80590.0,164.2,,,,,,,,,,,426.0,MpNoSaczNadb,"Nowy Sącz, ul. Nadbrzeżna",49.619281,20.714403,623.0,Nowy Sącz,Nowy Sącz,Nowy Sącz,MAŁOPOLSKIE,ul. Nadbrzeżna
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1203 strefa małopolska,powiat wielicki,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpNiepo3Maja,2024-01-10 00:00:00,24godziny,142040.0,136.4,,,,,,,,,,,455.0,MpNiepo3Maja,"Niepołomice, ul. 3 Maja",50.035117,20.212689,597.0,Niepołomice,Niepołomice,wielicki,MAŁOPOLSKIE,ul. 3 Maja
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,"dzielnice: Bronowice, Krowodrza, Prądnik Biały, Stare Miasto, Zwierzyniec w Krakowie","Napływ zanieczyszczeń spoza granic strefy,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji z zakładów przemysłowych, ciepłowni, elektrowni zlokalizowanych w pobliżu,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",MpKrakZloRog,2024-01-10 00:00:00,24godziny,173830.0,150.0,,,,,,,,,,,10123.0,MpKrakZloRog,"Kraków, ul. Złoty Róg",50.081197,19.895358,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Złoty Róg
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,os. Wadów w Krakowie,"Oddziaływanie emisji z zakładów przemysłowych, ciepłowni, elektrowni zlokalizowanych w pobliżu,Napływ zanieczyszczeń spoza granic strefy,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków",MpKrakWadow,2024-01-10 00:00:00,24godziny,306.0,130.9,,,,,,,,,,,10447.0,MpKrakWadow,"Kraków, os. Wadów",50.100569,20.122561,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Wadów
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,Dzielnica Swoszowice w Krakowie,"Oddziaływanie emisji związanych z indywidualnym ogrzewaniem budynków,Napływ zanieczyszczeń spoza granic strefy,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",MpKrakSwoszo,2024-01-10 00:00:00,24godziny,28960.0,146.5,,,,,,,,,,,11303.0,MpKrakSwoszo,"Kraków, os. Swoszowice",49.991442,19.936792,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,Lusińska
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,"rejon dzielnice: Bieńczyce, Mistrzejowice, Prądnik Czerwony, Wzgórza Krzesławickie, Czyżyny","Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie,Napływ zanieczyszczeń spoza granic strefy,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń",MpKrakOsPias,2024-01-10 00:00:00,24godziny,186780.0,126.8,,,,,,,,,,,10139.0,MpKrakOsPias,"Kraków, os. Piastów",50.098508,20.018269,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,os. Piastów
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,rejon ul. Dietla,"Oddziaływanie emisji związanej z ruchem pojazdów w centrum miasta z intensywnym ruchem,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Napływ zanieczyszczeń spoza granic strefy,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpKrakDietla,2024-01-10 00:00:00,24godziny,5340.0,139.0,,,,,,,,,,,10121.0,MpKrakDietla,"Kraków, ul. Dietla",50.057447,19.946008,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,ul. Dietla
Próg Informowania (PI) - Ochrona Zdrowia (OZ) / S24 > 100 ug/m3,PL1201 Aglomeracja Krakowska,rejon dzielnicy Nowa Huta,"Napływ zanieczyszczeń spoza granic strefy,Oddziaływanie emisji z zakładów przemysłowych, ciepłowni, elektrowni zlokalizowanych w pobliżu,Szczególne lokalne warunki rozprzestrzeniania się zanieczyszczeń,Niekorzystne warunki klimatyczne/meteorologiczne, rozumiane jako wystąpienie niekorzystnej sytuacji meteorologicznej, z punktu widzenia zanieczyszczenia powietrza w rozważanym okresie",MpKrakBulwar,2024-01-10 00:00:00,24godziny,47250.0,149.8,,,,,,,,,,,402.0,MpKrakBulwar,"Kraków, ul. Bulwarowa",50.069308,20.053492,415.0,Kraków,Kraków,Kraków,MAŁOPOLSKIE,ul. Bulwarowa
